TimeUS,time_s,roll_deg,pitch_deg,yaw_deg
51534626,0.88,1.5140321254730225,70.11836242675781,359.8849792480469
51554626,0.9,1.5141278505325317,70.11840057373047,359.884521484375
51574626,0.92,1.5143895149230957,70.11840057373047,359.8843078613281
51594626,0.94,1.514622449874878,70.11840057373047,359.8840637207031
51614626,0.96,1.5146825313568115,70.11833953857422,359.8835754394531
51634626,0.98,1.514976143836975,70.11827087402344,359.88336181640625
51654626,1.0,1.515163779258728,70.11832427978516,359.88299560546875
51674626,1.02,1.5154227018356323,70.11833190917969,359.8828125
51694626,1.04,1.5156809091567993,70.1182861328125,359.8825378417969
51714626,1.06,1.5158627033233643,70.11827087402344,359.88226318359375
51734626,1.08,1.5159097909927368,70.11823272705078,359.8818359375
51754626,1.1,1.5160651206970215,70.11820983886719,359.8813781738281
51774626,1.12,1.5163464546203613,70.11817169189453,359.88116455078125
51794626,1.14,1.5164307355880737,70.11814880371094,359.8807678222656
51814626,1.16,1.51662278175354,70.11814880371094,359.8804626464844
51834626,1.18,1.5168076753616333,70.11813354492188,359.88006591796875
51854626,1.2,1.5167752504348755,70.11808013916016,359.87957763671875
51874626,1.22,1.516952633857727,70.11803436279297,359.8792419433594
51894626,1.24,1.5170918703079224,70.11805725097656,359.87884521484375
51914626,1.26,1.5172176361083984,70.1180648803711,359.8784484863281
51934626,1.28,1.5172680616378784,70.1180419921875,359.8779296875
51954626,1.3,1.5172250270843506,70.1180191040039,359.8774108886719
51974626,1.32,1.5173736810684204,70.11800384521484,359.8770446777344
51994626,1.34,1.51751708984375,70.11799621582031,359.8765869140625
52014626,1.36,1.5173135995864868,70.11793518066406,359.8759460449219
52034626,1.38,1.5171750783920288,70.11788940429688,359.8752746582031
52054626,1.4,1.517167568206787,70.11775207519531,359.8747863769531
52074626,1.42,1.517001748085022,70.11767578125,359.87408447265625
52094626,1.44,1.5168300867080688,70.1175537109375,359.8734130859375
52114626,1.46,1.5166493654251099,70.11746215820312,359.8727111816406
52134626,1.48,1.5164453983306885,70.11734008789062,359.87200927734375
52154626,1.5,1.516106128692627,70.1171875,359.8711853027344
52174626,1.52,1.5157864093780518,70.11705780029297,359.8704528808594
52194626,1.54,1.5155531167984009,70.1169204711914,359.8696594238281
52214626,1.56,1.5151902437210083,70.11678314208984,359.86883544921875
52234626,1.58,1.515085220336914,70.11670684814453,359.8681945800781
52254626,1.6,1.5149970054626465,70.11663055419922,359.86761474609375
52274626,1.62,1.5145739316940308,70.11650848388672,359.8667297363281
52294626,1.64,1.5142194032669067,70.1164779663086,359.8658142089844
52314626,1.66,1.5138821601867676,70.11637115478516,359.864990234375
