TimeUS,time_s,instance,lat_deg,lon_deg,alt_m,speed_mps,vz_mps,status,nsats,hdop,seg_m,cum_dist_m,gps_dt_s,east_m,north_m,up_m
75214854,24.400228,0,-35.3658662,149.1652277,1019.4,50.509002685546875,-49.02100372314453,6,10,1.21,10.096535985810615,289.2527363324584,0.19993299999999792,-0.8816764916880828,-288.6534042211086,434.543447327216
75414787,24.600161,0,-35.3659569,149.1652274,1029.01,50.46000289916992,-47.08500289916992,6,10,1.21,10.08541653370014,299.33815286615857,0.19993300000000147,-0.908945187791872,-298.71838870056473,444.15298240300666
75614719,24.800093,0,-35.3660474,149.165227,1038.23,50.41100311279297,-45.1510009765625,6,10,1.21,10.06320622538209,309.40135909154066,0.19993200000000044,-0.9453033063302172,-308.7611917322115,453.37250262485674
75814652,25.000026,0,-35.366138,149.1652267,1047.07,50.36100387573242,-43.21900177001953,6,10,1.21,10.074297080895313,319.47565617243595,0.19993299999999792,-0.9725719296384909,-318.8151015432211,462.21200642519364
76014585,25.199959,0,-35.3662285,149.1652264,1055.52,50.30900192260742,-41.28900146484375,6,10,1.21,10.06317762896946,329.5388338014054,0.19993300000000147,-0.9998405082965576,-328.85792271420354,470.66149490268214
76214518,25.399892,0,-35.3663188,149.165226,1063.58,50.249000549316406,-39.35700225830078,6,10,1.21,10.040967385568866,339.5798011869743,0.19993300000000147,-1.0361985000779583,-338.87855677160434,478.7209686986546
76414451,25.599825,0,-35.3664089,149.1652257,1071.26,50.1400032043457,-37.39500045776367,6,10,1.21,10.018699820910285,349.5985010078846,0.19993299999999792,-1.063466976366385,-348.87700232957593,486.40042791950333
76614383,25.799757,0,-35.3664989,149.1652254,1078.54,50.02300262451172,-35.432003021240234,6,10,1.21,10.0075803694486,359.60608137733317,0.19993200000000044,-1.0907353943608626,-358.86435299929684,493.6798720460815
76814316,25.99969,0,-35.3665887,149.165225,1085.42,49.954002380371094,-33.50600051879883,6,10,1.21,9.98537028562506,369.5914516629582,0.19993300000000147,-1.1270932081097413,-368.82951023308505,500.5593017694585
77014249,26.199623,0,-35.3666784,149.1652246,1091.94,49.897003173828125,-31.590002059936523,6,10,1.21,9.974250866481297,379.5657025294395,0.19993299999999792,-1.1634509537807816,-378.78357109713096,507.0787165348994
77214182,26.399556,0,-35.366768,149.1652242,1098.07,49.836002349853516,-29.678001403808594,6,10,1.21,9.963131447501274,389.52883397694075,0.19993300000000147,-1.1998086186065393,-388.7265320310779,513.208116393442
77414115,26.599489,0,-35.3668575,149.1652239,1103.81,49.77100372314453,-27.774002075195312,6,10,1.21,9.951983112827069,399.4808170897678,0.19993299999999792,-1.2270767463970316,-398.6583911707266,518.94750140118
77614047,26.799421,0,-35.3669469,149.1652234,1109.17,49.7030029296875,-25.876001358032227,6,10,1.21,9.940929828293468,409.4217469180613,0.19993200000000044,-1.2725236979786274,-408.57914730499715,524.3068716065238
77813980,26.999354,0,-35.3670363,149.1652231,1114.16,49.630001068115234,-23.98200035095215,6,10,1.21,9.940863661114955,419.36261057917625,0.19993300000000147,-1.2997916467169404,-418.49989595380976,529.2962263350337
78014913,27.200287,0,-35.3671257,149.1652227,1118.79,49.544002532958984,-22.09800148010254,6,10,1.21,9.940892609067863,429.3035031882441,0.20093299999999914,-1.3361489522554848,-428.4206360640801,533.9255655814595
78214845,27.400219,0,-35.3672145,149.1652222,1123.02,49.40300369262695,-20.211000442504883,6,10,1.21,9.87421357018367,439.1777167584278,0.19993200000000044,-1.3815955960397162,-438.2747830442057,538.1548939364967
78414778,27.600152,0,-35.3673031,149.1652219,1126.87,49.215003967285156,-18.33500099182129,6,10,1.21,9.85190805539699,449.02962481382474,0.19993300000000147,-1.408863239550513,-448.1067230971204,542.0042085878072
78614711,27.800085,0,-35.3673914,149.1652214,1130.35,49.02900314331055,-16.48900032043457,6,10,1.21,9.81861669555383,458.84824150937857,0.19993299999999792,-1.45430964881119,-457.9053584398952,545.4835104283704
